county,megalitres_from_great_lakes,megalitres_from_groundwater,megalitres_from_inland_surface,total_megalitres_all_sources,industry,year,megalitres_from_great_lakes_pc,megalitres_from_groundwater_pc,megalitres_from_inland_surface_pc,main_source,fips
Alcona,0,0,0,0,Commercial-Institutional,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,645,0,645,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26001
Alcona,0,0,0,0,Industrial-Manufacturing,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,122,48,170,Irrigation,2013,0.0,0.72,0.28,Groundwater,26001
Alcona,0,70,981,1051,Livestock,2013,0.0,0.07,0.93,Inland Surface,26001
Alcona,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26001
Alcona,0,112,0,112,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26001
Alcona,0,950,1029,1979,Total All Sectors,2013,0.0,0.48,0.52,Inland Surface,26001
Alger,0,5,0,5,Commercial-Institutional,2013,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Electric Power Generation,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,6071,392,0,6464,Industrial-Manufacturing,2013,0.94,0.06,0.0,Great Lakes,26003
Alger,0,44,0,44,Irrigation,2013,0.0,1.0,0.0,Groundwater,26003
Alger,0,0,0,0,Livestock,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,0,0,0,0,Other,2013,0.0,0.0,0.0,Great Lakes,26003
Alger,0,618,0,618,Public Water Supply,2013,0.0,1.0,0.0,Groundwater,26003
Alger,6071,1061,0,7133,Total All Sectors,2013,0.85,0.15,0.0,Great Lakes,26003
Allegan,0,5,9,14,Commercial-Institutional,2013,0.0,0.36,0.64,Inland Surface,26005
Allegan,0,6,0,6,Electric Power Generation,2013,0.0,1.0,0.0,Groundwater,26005
Allegan,0,2750,1022,3772,Industrial-Manufacturing,2013,0.0,0.73,0.27,Groundwater,26005
Allegan,0,11710,12325,24036,Irrigation,2013,0.0,0.49,0.51,Inland Surface,26005
